source_field,source_value,Maps to OMOP code,ID,vocabulary
DEATHCAUSE_DIAG_1_CD,R99,Death of unknown cause,441413,SNOMED
DEATHCAUSE_DIAG_1_CD,R95.9,Sudden infant death syndrome without mention of autopsy,37395455,SNOMED
DEATHCAUSE_DIAG_1_CD,Q24.9,Congenital heart disease,312723,SNOMED
DEATHCAUSE_DIAG_1_CD,J96.9,Respiratory failure,4256228,SNOMED
DEATHCAUSE_DIAG_2_CD,P07.3,Prematurity of infant,36675035,SNOMED
DEATHCAUSE_DIAG_UNDERLYING_CD,R95.9,Sudden infant death syndrome without mention of autopsy,37395455,SNOMED
DEATHCAUSE_DIAG_UNDERLYING_CD,R99,Death of unknown cause,441413,SNOMED
DEATHCAUSE_DIAG_UNDERLYING_CD,Q24.9,Congenital heart disease,312723,SNOMED
STILLBIRTH_DIAG_1_CD,P95,Fetal death,4079844,SNOMED
EVENT_CD,R24.9,Normal delivery procedure,4071507,SNOMED
EVENT_CD,Y84.1,Nitrous oxide and oxygen gas analgesia in labor,4138320,SNOMED
EVENT_CD,R15.1,Medical induction of labor,4150970,SNOMED
EVENT_CD,Y81.9,Epidural anesthesia,4078199,SNOMED
EVENT_CD,Y81.1,Local anesthetic lumbar epidural block,4110978,SNOMED
EVENT_CD,R32.3,Immediate repair of obstetric laceration of vagina and floor of pelvis,4070223,SNOMED
EVENT_CD,R14.1,Forewater rupture of amniotic membrane,4073419,SNOMED
EVENT_CD,R18.2,Lower uterine segment cesarean section,37312440,SNOMED
EVENT_CD,R27.1,Episiotomy to facilitate delivery,44513763,OPCS4
EVENT_CD,R17.2,Elective lower segment cesarean section,4075161,SNOMED
EVENT_CD,Y82.2,Injection of local anaesthetic NEC,44517118,OPCS4
EVENT_CD,Y95.1,Over 20 weeks gestational age,44790233,SNOMED
EVENT_CD,Y82.9,Local anesthesia,4303995,SNOMED
EVENT_CD,X30.1,Injection of human anti-D immunoglobulin,37153616,SNOMED
EVENT_CD,R32.4,Immediate repair of minor obstetric laceration,4071514,SNOMED
EVENT_CD,Y80.9,Administration of general anesthetic,4174669,SNOMED
EVENT_CD,Y95.4,Under 9 weeks gestational age,44791172,SNOMED
EVENT_CD,R37.3,Fetal biometry,44513795,OPCS4
EVENT_CD,R21.9,Forceps delivery,4114637,SNOMED
EVENT_CD,Y98.1,Radiology of one body area or <20 minutes,44793690,SNOMED
EVENT_CD,R36.2,Ultrasound scan for fetal viability,4060626,SNOMED
